Rank,Lemma,POS,Definition,
576,foot,noun,the part of the leg below ankle,足（くるぶしから下）
577,effort,noun,work done by the mind or body,努力
578,attention,noun,an act or power of carefully thinking about,注意
579,upon,preposition,"more formal term for ""on""",～の上に
580,check,verb,"to look at (something) carefully to find mistakes, problems, etc.",確認する
581,complete,adjective,having all necessary parts,完璧
582,lie,verb,to be in a horizontal or flat position,横になる
583,pick,verb,to choose or select (someone or something) from a group ,選ぶ
584,reduce,verb,"to make something smaller in size, amount or number",減らす
585,personal,adjective,relating to or belonging to a particular person; someone's private information,個人的な
586,ground,noun,the solid surface of the earth that we stand on,地面
587,animal,noun, a living thing that is not a human being or plant ,動物
588,arrive,verb,"to come to or reach a place after traveling, being sent, etc.",到着する
589,patient,adjective,able to remain calm and not become annoyed when waiting for a long time or when dealing with problems or difficult people,忍耐強い
590,current,adjective,happening or existing now :belonging to or existing in the present time ,現在の
591,century,noun,a period of 100 years,世紀
592,evidence,noun,something that makes you believe that something is true or exists,証拠
593,exist,verb,to have actual being or to be real,存在する
594,similar,adjective,"almost the same, alike as something else",似ている
595,fight,verb,take part in a battle to defeat an enemy,戦う
596,leader,noun,"a person in control of a group, country, or situation",リーダー
597,fine,adjective,"good, acceptable, or satisfactory",よい
598,street,noun,a public road in a city or town,街路
599,former,determiner,used to say what someone or something was in the past,前の
600,contact,noun,the state or condition where two things are touching,接触
601,particularly,adverb,especially,特に
602,wife,noun,a married woman,妻
603,sport,noun,a contest or game in which people do certain physical activities according to a specific set of rules and compete against each other,スポーツ
604,prepare,verb,to make something ready for use ,用意する
605,discuss,verb, to talk about (something) with another person or group ,議論する
606,response,noun, an answer or reaction to something that has been said or done,応答
607,voice,noun,the sound a person produces with their mouth,声
608,piece,noun,a part that is cut or separated from a whole,一切れ
609,finish,verb, to reach the end of (something) : to stop doing (something) because it is completed,終り
610,suppose,verb,to think of something as happening or being true in order to imagine what might happen,想定する
611,apply,verb,to ask formally for something such as a job,申し込む
612,president,noun,the head of a government,大統領
613,fire,noun,"the light, heat and the flame produced by burning something",火
614,compare,verb,to say that (something) is similar to something else ,比べる
615,court,noun,a formal legal meeting place that judges about crimes,裁判所
616,police,noun,"the people or the department of people who enforce laws, investigate crimes, and make arrests",警察
617,store,noun,a building or room where things are sold ,店
618,poor,adjective,having little money or few possessions : not having enough money for the basic things that people need to live properly ,貧しい
619,knowledge,noun,"information, understanding, or skill that you get from experience or education",知識
620,laugh,verb,to show that you are happy or that you think something is funny by smiling and making a sound from your throat,笑う
621,arm,noun,each of the two long body parts from shoulder to the hand,腕
622,heart,noun,the organ in your chest that pumps blood through your body,心
